Ticker,Rank,Decile,Momentum,Volatility,marketCap,sector
QS,1.0,1,0.6558442175029793,,4275784192, Consumer Discretionary
CAR,2.0,1,0.4128122124173428,,6309961728, Industrials
MP,3.0,1,0.40366624552249153,,5882781696, Materials
DAR,4.0,1,0.2169632125277181,,6059072000, Consumer Staples
JBL,5.0,1,0.20669173567599608,,23112452096, Information Technology
ORCL,6.0,1,0.206599395808029,,597775220736, Information Technology
OLLI,7.0,1,0.19025958179403668,,8185356288, Consumer Discretionary
AMD,8.0,1,0.18606565461200497,,232962752512, Information Technology
SNDK,9.0,1,0.17921946722626947,,6893031936, Information Technology
MRVL,10.0,1,0.17189337227634027,,68950138880, Information Technology
LITE,11.0,1,0.14995141309613902,,6572873728, Information Technology
VST,12.0,1,0.14300205561773738,,64608808960, Utilities
WDC,13.0,1,0.140829897798727,,22157242368, Information Technology
SMCI,14.0,1,0.14024534833810387,,29405222912, Information Technology
DELL,15.0,1,0.13250634462628685,,85521399808, Information Technology
EL,16.0,1,0.13126249769294374,,28431200256, Consumer Staples
CIEN,17.0,1,0.12863473772504186,,11522825216, Information Technology
GRAL,18.0,1,0.12559841053986887,,1776371456, Health Care
ALGM,19.0,1,0.12083878637772161,,6226424320, Information Technology
VRT,20.0,1,0.11983378108150777,,47180800000, Industrials
NUE,21.0,1,0.11508583345877477,,30138388480, Materials
DKNG,22.0,1,0.11483628171760052,,20958158848, Consumer Discretionary
NEM,23.0,1,0.11029820112448774,,65878466560, Materials
BBWI,24.0,1,0.10967247279758441,,6166373376, Consumer Discretionary
AYI,25.0,1,0.10856801063082488,,9400651776, Industrials
DDOG,26.0,1,0.10528532540625735,,45282680832, Information Technology
RCL,27.0,1,0.10423206480076952,,80351895552, Consumer Discretionary
CEG,28.0,1,0.10376812030144289,,101080113152, Utilities
KR,29.0,1,0.1030640010777022,,47116079104, Consumer Staples
COHR,30.0,1,0.1026867243016194,,13971036160, Information Technology
GXO,31.0,1,0.10197068801964759,,5502409728, Industrials
DASH,32.0,1,0.10027546387453712,,101546008576, Consumer Discretionary
IONS,33.0,1,0.09919868164732115,,6331344896, Health Care
LNW,34.0,1,0.09803697458030447,,8070813184, Consumer Discretionary
FLS,35.0,1,0.09659690471715399,,6784347648, Industrials
GNRC,36.0,1,0.09654799581717755,,8407902208, Industrials
CCL,37.0,1,0.09635522229560234,,34324834304, Consumer Discretionary
SPOT,38.0,1,0.09414221223818808,,159102959616, Communication
ADM,39.0,1,0.09245942406612406,,25545525248, Consumer Staples
WHR,40.0,1,0.09223020499927448,,5307983872, Consumer Discretionary
RBLX,41.0,1,0.09181659560336786,,71219822592, Communication
BG,42.0,1,0.0904995590377844,,11061531648, Consumer Staples
BSY,43.0,1,0.09032526556875786,,15966942208, Information Technology
SCCO,44.0,1,0.08931919684696155,,84137672704, Materials
VAC,45.0,1,0.0884272841178535,,2533509632, Consumer Discretionary
FWONA,46.0,1,0.08839714488151773,,26003226624, Communication
INTC,47.0,1,0.08800772088812359,,98144993280, Information Technology
MU,48.0,1,0.08592606503139999,,140813828096, Information Technology
PENN,49.0,1,0.08561239953534172,,2757296640, Consumer Discretionary
