Ticker,Rank,Decile,Momentum,Volatility,marketCap,sector
PLTR,1.0,1,3.6758785155210214,,330293018624.0, Information Technology
APP,2.0,1,2.236121047924185,,116530331648.0, Information Technology
MSTR,3.0,1,1.7594591741435819,,103085580288.0, Information Technology
UI,4.0,1,1.2561477588942878,,22795503616.0, Information Technology
GEV,5.0,1,1.1653647809126175,,133790015488.0, Industrials
HOOD,6.0,1,1.1624836015043782,,69141446656.0, Financials
AXON,7.0,1,1.0843529368813822,,60006617088.0, Industrials
DOCS,8.0,1,1.0336075246507939,,10713594880.0, Health Care
SPOT,9.0,1,0.956658796485718,,145628725248.0, Communication
AS,10.0,1,0.929196546439464,,20069924864.0, Consumer Discretionary
CVNA,11.0,1,0.8983064309062074,,36009152512.0, Consumer Discretionary
SOFI,12.0,1,0.892586985808504,,16978329600.0, Financials
LLYVK,13.0,1,0.868565489440007,,7288336384.0, Communication
DUOL,14.0,1,0.8664878248141534,,21760288768.0, Consumer Discretionary
LLYVA,15.0,1,0.8656360034215325,,7288340992.0, Communication
RBLX,16.0,1,0.8019350900693001,,69625856000.0, Communication
HWM,17.0,1,0.7893623367782416,,68717420544.0, Industrials
TPL,18.0,1,0.7857274543473978,,24820307968.0, Energy
VIRT,19.0,1,0.7809454632545807,,6581170688.0, Financials
DASH,20.0,1,0.7732120017853821,,93469450240.0, Consumer Discretionary
LOAR,21.0,1,0.7708294720326123,,7707150848.0, Industrials
PM,22.0,1,0.7443334495161018,,284236120064.0, Consumer Staples
EXEL,23.0,1,0.7423232186131428,,11110124544.0, Health Care
FTNT,24.0,1,0.7215862178223136,,77169238016.0, Information Technology
TWLO,25.0,1,0.7023410798567673,,17814001664.0, Information Technology
TPR,26.0,1,0.6816380499742081,,17495805952.0, Consumer Discretionary
NFLX,27.0,1,0.6769202858508738,,520171192320.0, Communication
LBRDK,28.0,1,0.648850782430459,,12894331904.0, Communication
AFRM,29.0,1,0.6471367040560045,,19897968640.0, Financials
LBRDA,30.0,1,0.630952482424795,,12894360576.0, Communication
PEN,31.0,1,0.62716005085076,,9952944128.0, Health Care
PPC,32.0,1,0.6003488867100246,,10883946496.0, Consumer Staples
PAYC,33.0,1,0.5917379862912897,,13041994752.0, Industrials
GILD,34.0,1,0.5916139379266299,,134344441856.0, Health Care
VRSN,35.0,1,0.5867265854844823,,26400923648.0, Information Technology
ETR,36.0,1,0.5811858686190765,,36117426176.0, Utilities
G,37.0,1,0.5781939159068832,,7362194944.0, Industrials
UNM,38.0,1,0.5586096397193996,,13790112768.0, Financials
FFIV,39.0,1,0.5371305626296539,,16453005312.0, Information Technology
DOCU,40.0,1,0.52803738317757,,15205241856.0, Information Technology
T,41.0,1,0.5250804110754685,,199172456448.0, Communication
PEGA,42.0,1,0.5237563173636441,,8649792512.0, Information Technology
VST,43.0,1,0.5163264155426408,,61463207936.0, Utilities
GL,44.0,1,0.5131736096499142,,9881209856.0, Financials
TKO,45.0,1,0.5126466293489109,,14383472640.0, Communication
TTWO,46.0,1,0.5005466530418021,,43618549760.0, Communication
UGI,47.0,1,0.4908267182941888,,7799218688.0, Utilities
WELL,48.0,1,0.4859936335580135,,100172365824.0, Real Estate
GWRE,49.0,1,0.4850243322855019,,20778532864.0, Information Technology
RGLD,50.0,1,0.4774455447132704,,11789710336.0, Materials
KR,51.0,1,0.47015232821275155,,43626684416.0, Consumer Staples
CME,52.0,1,0.4661757769615209,,98053685248.0, Financials
K,53.0,1,0.4654868313506715,,27387365376.0, Consumer Staples
FOXA,54.0,1,0.465280316960335,,23540836352.0, Communication
ZG,55.0,1,0.46492011580282355,,16214023168.0, Real Estate
CAH,56.0,1,0.4627273184664964,,39477174272.0, Health Care
FOX,57.0,1,0.46192609273694085,,23540877312.0, Communication
NET,58.0,1,0.4581672837053343,,62875049984.0, Information Technology
PCTY,59.0,1,0.45695864399655495,,9745350656.0, Industrials
Z,60.0,1,0.45139044442580545,,16214020096.0, Real Estate
NFG,61.0,1,0.45066702492339594,,7717867520.0, Utilities
WMT,62.0,1,0.44752178623816885,,758858121216.0, Consumer Staples
BROS,63.0,1,0.44299515644036047,,11485777920.0, Consumer Discretionary
WEC,64.0,1,0.4335148962951607,,33135685632.0, Utilities
IBM,65.0,1,0.4310230938504056,,263214514176.0, Information Technology
NRG,66.0,1,0.42762585961996447,,29842647040.0, Utilities
AEE,67.0,1,0.4273006332325371,,25598394368.0, Utilities
TSLA,68.0,1,0.42591467909660086,,1037310099456.0, Consumer Discretionary
IBKR,69.0,1,0.4220022199955218,,39422590976.0, Financials
WMB,70.0,1,0.41749688380553596,,72186109952.0, Energy
TMUS,71.0,1,0.41604804688978514,,250923106304.0, Communication
UAL,72.0,1,0.4143033273865553,,24266455040.0, Industrials
LYV,73.0,1,0.4129507143869271,,34362515456.0, Communication
SLM,74.0,1,0.4109099436306525,,6652435456.0, Financials
VTR,75.0,1,0.40960845207152996,,28301275136.0, Real Estate
DTM,76.0,1,0.4038431449105848,,10692452352.0, Energy
ATO,77.0,1,0.4017974761580463,,24205168640.0, Utilities
NI,78.0,1,0.39976852683042186,,18489212928.0, Utilities
EXC,79.0,1,0.3956405192115964,,42774208512.0, Utilities
CIEN,80.0,1,0.39393946111898726,,10435712000.0, Information Technology
NTRA,81.0,2,0.3937574235825858,,23346806784.0, Health Care
WRB,82.0,2,0.39141400212446187,,27609528320.0, Financials
KMI,83.0,2,0.3864274680628297,,61281767424.0, Energy
FYBR,84.0,2,0.3846447508571411,,9058941952.0, Communication
PGR,85.0,2,0.3842092104380317,,152611684352.0, Financials
AXS,86.0,2,0.38389730125417065,,8017907200.0, Financials
MMM,87.0,2,0.380704162038213,,76696166400.0, Industrials
TOST,88.0,2,0.38067525025346205,,24633169920.0, Financials
BK,89.0,2,0.3770902975074266,,65533751296.0, Financials
MO,90.0,2,0.3741362839364679,,100207935488.0, Consumer Staples
EHC,91.0,2,0.3733034780396205,,12070440960.0, Health Care
DRI,92.0,2,0.3713810519522387,,26067542016.0, Consumer Discretionary
CBRE,93.0,2,0.37111434708017055,,39788072960.0, Real Estate
VNO,94.0,2,0.3645653635254631,,8456281088.0, Real Estate
RCL,95.0,2,0.3590017923281621,,72718336000.0, Consumer Discretionary
XEL,96.0,2,0.3575043517301344,,38227718144.0, Utilities
EQT,97.0,2,0.3535127774737288,,35540422656.0, Energy
TRGP,98.0,2,0.35307908765849083,,36730929152.0, Energy
PPL,99.0,2,0.3519254929108018,,24831877120.0, Utilities
BRBR,100.0,2,0.350017504613821,,7715067904.0, Consumer Staples
JBL,101.0,2,0.3496997660465351,,21969227776.0, Information Technology
GDDY,102.0,2,0.34800653339573295,,25137733632.0, Information Technology
EVRG,103.0,2,0.3464019886146048,,15367778304.0, Utilities
ORLY,104.0,2,0.340075355497127,,75499642880.0, Consumer Discretionary
BJ,105.0,2,0.33834246880407837,,14298481664.0, Consumer Staples
FICO,106.0,2,0.3365577150106891,,42929995776.0, Information Technology
BSX,107.0,2,0.335800543994341,,149971845120.0, Health Care
KVUE,108.0,2,0.335272560855864,,41009278976.0, Consumer Staples
FAST,109.0,2,0.3315438727326654,,47598985216.0, Industrials
LNG,110.0,2,0.3314431867643872,,52132777984.0, Energy
RBA,111.0,2,0.3311161762542054,,19396368384.0, Industrials
DGX,112.0,2,0.3284017201238798,,20069740544.0, Health Care
FNF,113.0,2,0.32763423417241255,,14863516672.0, Financials
OGE,114.0,2,0.32583271236503,,8834360320.0, Utilities
V,115.0,2,0.32371198180860805,,664932319232.0, Financials
ORI,116.0,2,0.31733587457234447,,9145067520.0, Financials
COF,117.0,2,0.315955668919353,,126216003584.0, Financials
TRV,118.0,2,0.3154595118270591,,60018122752.0, Financials
FIX,119.0,2,0.311110562615478,,17602830336.0, Industrials
BRK-B,120.0,2,0.31084074729959177,,1046873964544.0, Financials
CHTR,121.0,2,0.31074390069496505,,52135915520.0, Communication
ZM,122.0,2,0.3100186300821788,,23441420288.0, Information Technology
TW,123.0,2,0.30794528267864707,,30301859840.0, Financials
COR,124.0,2,0.3077146454011679,,57516978176.0, Health Care
CCK,125.0,2,0.30597073200881786,,11934835712.0, Materials
RSG,126.0,2,0.30444855469341925,,77586751488.0, Industrials
CBOE,127.0,2,0.3042455970595741,,23832680448.0, Financials
RL,128.0,2,0.2997301413088336,,16155316224.0, Consumer Discretionary
SGI,129.0,2,0.299448008604543,,13553853440.0, Consumer Discretionary
ADC,130.0,2,0.2965444120192753,,8311663104.0, Real Estate
