Ticker,Rank,Decile,Momentum,Volatility,marketCap,sector
DAR,1.0,1,0.2169632125277181,0.028161914182355363,6059072000, Consumer Staples
JBL,2.0,1,0.20669173567599608,0.024897869582217992,23112452096, Information Technology
ORCL,3.0,1,0.206599395808029,0.027214153180157862,597775220736, Information Technology
OLLI,4.0,1,0.19025958179403668,0.026570744774474683,8185356288, Consumer Discretionary
WDC,5.0,1,0.140829897798727,0.030533483044403842,22157242368, Information Technology
EL,6.0,1,0.13126249769294374,0.03232218902475989,28431200256, Consumer Staples
NUE,7.0,1,0.11508583345877477,0.026007248593479023,30138388480, Materials
DKNG,8.0,1,0.11483628171760052,0.030269716288204216,20958158848, Consumer Discretionary
NEM,9.0,1,0.11029820112448774,0.023375382697691457,65878466560, Materials
AYI,10.0,1,0.10856801063082488,0.021121059906619565,9400651776, Industrials
DDOG,11.0,1,0.10528532540625735,0.025653720941902255,45282680832, Information Technology
RCL,12.0,1,0.10423206480076952,0.028304353016330358,80351895552, Consumer Discretionary
KR,13.0,1,0.1030640010777022,0.016135371256499546,47116079104, Consumer Staples
GXO,14.0,1,0.10197068801964759,0.02917871169311347,5502409728, Industrials
DASH,15.0,1,0.10027546387453712,0.024514131516687406,101546008576, Consumer Discretionary
IONS,16.0,1,0.09919868164732115,0.026571293737953364,6331344896, Health Care
LNW,17.0,1,0.09803697458030447,0.02959096452383054,8070813184, Consumer Discretionary
FLS,18.0,1,0.09659690471715399,0.024296672282600663,6784347648, Industrials
GNRC,19.0,1,0.09654799581717755,0.02469444225523057,8407902208, Industrials
CCL,20.0,1,0.09635522229560234,0.03150815645566426,34324834304, Consumer Discretionary
SPOT,21.0,1,0.09414221223818808,0.027465522311402913,159102959616, Communication
ADM,22.0,1,0.09245942406612406,0.017192506960075602,25545525248, Consumer Staples
WHR,23.0,1,0.09223020499927448,0.02851347076892507,5307983872, Consumer Discretionary
RBLX,24.0,1,0.09181659560336786,0.02884219814458476,71219822592, Communication
BG,25.0,1,0.0904995590377844,0.018018795048449655,11061531648, Consumer Staples
BSY,26.0,1,0.09032526556875786,0.01777478921536984,15966942208, Information Technology
SCCO,27.0,1,0.08931919684696155,0.024517886459718603,84137672704, Materials
VAC,28.0,1,0.0884272841178535,0.030334205676392636,2533509632, Consumer Discretionary
FWONA,29.0,1,0.08839714488151773,0.017610069343937967,26003226624, Communication
PENN,30.0,1,0.08561239953534172,0.033134140815831506,2757296640, Consumer Discretionary
FCX,31.0,1,0.08412584501687137,0.028234266548753408,63853449216, Materials
MTSI,32.0,1,0.08324442057684256,0.032469639617563,10580589568, Information Technology
SNX,33.0,1,0.08317517681730591,0.02163982469689789,11223040000, Information Technology
EME,34.0,1,0.08285823893745103,0.026820323612647898,22870890496, Industrials
MSGS,35.0,1,0.08094538424436726,0.013947193218394275,4964918272, Communication
FWONK,36.0,1,0.0800351194363591,0.017139253320802055,25854547968, Communication
CAH,37.0,1,0.07868170342670289,0.013922041141417162,39527297024, Health Care
HEI-A,38.0,1,0.07810636177101538,0.018474875896939864,39099482112, Industrials
DINO,39.0,1,0.07746118644205158,0.024746838291027532,7835972096, Energy
EQT,40.0,1,0.07745043932984608,0.023635603702100265,34810101760, Energy
ILMN,41.0,1,0.07562260312254354,0.026806538384418703,14905528320, Health Care
UBER,42.0,1,0.07553708451391561,0.027603734884618928,194729754624, Industrials
CSCO,43.0,1,0.07415476438376745,0.014565054158139832,273041981440, Information Technology
SEB,44.0,1,0.07371169589416304,0.017602277207012185,2826828544, Consumer Staples
NFLX,45.0,1,0.07114637399998824,0.020364907946828104,556080889856, Communication
TKO,46.0,1,0.0706360844885392,0.01992442837203094,14400641024, Communication
LDOS,47.0,1,0.06975467445525863,0.01930644383541135,20038973440, Industrials
THC,48.0,1,0.06907870419125595,0.027458460058617476,16028235776, Health Care
ETN,49.0,1,0.06886501422064262,0.024079266118269327,136227184640, Industrials
EA,50.0,1,0.06805257008525012,0.01787958321153612,39633129472, Communication
JLL,51.0,1,0.06766318873355259,0.02233598284486018,12037982208, Real Estate
LRCX,52.0,1,0.06741035207941737,0.032906216267837275,123869978624, Information Technology
DKS,53.0,1,0.06697576944824535,0.028609865325505843,15679627264, Consumer Discretionary
WMB,54.0,1,0.06694059751806236,0.016678386847572023,76764897280, Energy
NWS,55.0,1,0.06691797567929747,0.014951304675659943,17563805696, Communication
PWR,56.0,1,0.06658609961967543,0.026579941188709013,56237076480, Industrials
NVT,57.0,1,0.06603496909705897,0.028790414515275062,12039830528, Industrials
ALNY,58.0,1,0.06587853946122957,0.027832439158041188,41495982080, Health Care
CI,59.0,1,0.06382974537007424,0.017543444502961605,88157192192, Health Care
